Gene	HCC1143	COLO829	HCC1937	HCC1395	NCI-H1770
AC025048.1	0.0	0.0	0.0	-1.0	0.0
AC037459.4	-1.0	0.0	-1.0	-1.0	-1.0
AC055733.1	1.0	1.0	unstable_segmentation	1.0	-1.0
AC055866.1	-1.0	0.0	unstable_segmentation	-1.0	0.0
AC066615.1	1.0	-1.0	-1.0	-1.0	0.0
AC069499.1	1.0	1.0	0.0	-1.0	-1.0
AC073072.1	0.0	1.0	1.0	unstable_segmentation	1.0
AC073333.1	0.0	1.0	1.0	unstable_segmentation	1.0
AC073657.1	1.0	-1.0	-1.0	-1.0	1.0
AC079907.1	0.0	0.0	-1.0	-1.0	-1.0
AC087392.1	1.0	0.0	unstable_segmentation	1.0	-1.0
AC087762.1	1.0	1.0	unstable_segmentation	1.0	0.0
AC090154.1	2.0	0.0	1.0	unstable_segmentation	-1.0
AC092384.1	0.0	-1.0	1.0	unstable_segmentation	unstable_segmentation
AC092718.1	0.0	-1.0	1.0	unstable_segmentation	0.0
AC092881.1	2.0	0.0	-1.0	-1.0	-1.0
AC100821.2	2.0	0.0	1.0	unstable_segmentation	-1.0
AC104057.1	-1.0	1.0	unstable_segmentation	unstable_segmentation	1.0
AC104073.2	-1.0	1.0	1.0	unstable_segmentation	1.0
AC104389.1	1.0	0.0	-1.0	-1.0	0.0
AC104389.2	1.0	0.0	-1.0	-1.0	0.0
AC104581.1	1.0	0.0	0.0	1.0	-1.0
AC107081.1	0.0	0.0	0.0	unstable_segmentation	0.0
AC108925.1	2.0	unstable_segmentation	unstable_segmentation	2.0	-1.0
AC110602.1	0.0	0.0	0.0	-1.0	0.0
AC110615.1	-1.0	1.0	-1.0	unstable_segmentation	-1.0
AC112719.2	-1.0	1.0	-1.0	unstable_segmentation	-1.0
AC113404.1	1.0	-1.0	-1.0	-1.0	-1.0
AC118758.1	2.0	1.0	unstable_segmentation	0.0	unstable_segmentation
AC124312.1	1.0	unstable_segmentation	-1.0	unstable_segmentation	unstable_segmentation
AC126407.1	1.0	1.0	-1.0	unstable_segmentation	unstable_segmentation
AC129492.1	1.0	0.0	0.0	1.0	-1.0
AC131263.1	0.0	0.0	-1.0	-1.0	0.0
AC138028.1	0.0	-1.0	1.0	unstable_segmentation	unstable_segmentation
AC234582.1	1.0	1.0	0.0	0.0	1.0
AC234582.2	1.0	1.0	0.0	0.0	1.0
ACACB	0.0	0.0	-1.0	-1.0	-1.0
ACAD10	0.0	0.0	-1.0	-1.0	-1.0
ACAD11	1.0	1.0	unstable_segmentation	1.0	-1.0
ACAD8	-2.0	0.0	1.0	-1.0	unstable_segmentation
ACAD9	1.0	1.0	unstable_segmentation	1.0	-1.0
ACADL	-1.0	0.0	0.0	-1.0	-1.0
ACADM	0.0	0.0	-1.0	unstable_segmentation	1.0
ACADS	0.0	0.0	-1.0	-1.0	-1.0
ACADSB	0.0	-1.0	1.0	1.0	unstable_segmentation
ACADVL	1.0	0.0	0.0	1.0	-1.0
ACAN	1.0	1.0	-1.0	unstable_segmentation	0.0
ACAP1	1.0	0.0	0.0	1.0	-1.0
ACAP3	1.0	unstable_segmentation	unstable_segmentation	unstable_segmentation	1.0
ACAT1	-1.0	unstable_segmentation	0.0	unstable_segmentation	0.0
ACAT2	1.0	0.0	-1.0	0.0	-1.0
ACBD3	1.0	1.0	1.0	0.0	1.0
ACBD4	1.0	0.0	unstable_segmentation	-1.0	0.0
ACBD5	2.0	0.0	1.0	-1.0	-1.0
ACBD6	1.0	1.0	0.0	1.0	1.0
ACBD7	2.0	0.0	-1.0	-1.0	-1.0
ACCS	0.0	0.0	0.0	-1.0	0.0
ACCSL	0.0	0.0	0.0	-1.0	0.0
ACD	0.0	-1.0	1.0	2.0	0.0
ACE	0.0	0.0	0.0	unstable_segmentation	0.0
ACE2	-1.0	unstable_segmentation	unstable_segmentation	unstable_segmentation	unstable_segmentation
ACER1	0.0	0.0	1.0	-1.0	0.0
ACER3	1.0	0.0	0.0	-1.0	0.0
ACIN1	1.0	0.0	1.0	1.0	0.0
ACKR1	1.0	1.0	1.0	0.0	1.0
ACKR2	-1.0	1.0	-1.0	0.0	-1.0
ACKR3	-1.0	0.0	-1.0	0.0	-1.0
ACKR4	1.0	1.0	unstable_segmentation	1.0	-1.0
ACLY	-1.0	0.0	unstable_segmentation	-1.0	0.0
ACMSD	-1.0	0.0	0.0	-1.0	-1.0
ACO1	1.0	1.0	0.0	unstable_segmentation	0.0
ACO2	2.0	1.0	unstable_segmentation	1.0	-1.0
ACOT1	1.0	0.0	0.0	-1.0	-1.0
ACOT11	0.0	0.0	-1.0	-1.0	1.0
ACOT12	1.0	-1.0	-1.0	-1.0	-1.0
ACOT2	1.0	0.0	0.0	-1.0	-1.0
ACOT4	1.0	0.0	0.0	-1.0	-1.0
ACOT6	1.0	0.0	0.0	-1.0	-1.0
ACOT7	1.0	unstable_segmentation	unstable_segmentation	unstable_segmentation	1.0
ACOT8	1.0	1.0	1.0	0.0	0.0
ACOX1	2.0	0.0	unstable_segmentation	1.0	0.0
ACOX2	-1.0	1.0	-1.0	unstable_segmentation	-1.0
ACOXL	0.0	0.0	0.0	unstable_segmentation	-1.0
ACP2	1.0	unstable_segmentation	0.0	-1.0	0.0
ACP5	0.0	0.0	1.0	-1.0	0.0
ACPP	1.0	1.0	unstable_segmentation	1.0	-1.0
ACR	2.0	unstable_segmentation	unstable_segmentation	unstable_segmentation	-1.0
ACRBP	0.0	0.0	1.0	1.0	0.0
ACRV1	-1.0	0.0	1.0	-1.0	unstable_segmentation
ACSBG1	1.0	-1.0	-1.0	unstable_segmentation	0.0
ACSBG2	0.0	0.0	1.0	-1.0	0.0
ACSF3	0.0	-1.0	1.0	unstable_segmentation	unstable_segmentation
ACSL1	-1.0	1.0	0.0	unstable_segmentation	-1.0
ACSL3	-1.0	0.0	-1.0	-1.0	-1.0
ACSL4	-1.0	unstable_segmentation	unstable_segmentation	unstable_segmentation	unstable_segmentation
ACSL5	0.0	-1.0	-1.0	-1.0	-1.0
ACSL6	1.0	-1.0	1.0	-1.0	-1.0
ACSM1	1.0	unstable_segmentation	0.0	2.0	unstable_segmentation
ACSM2A	1.0	unstable_segmentation	0.0	2.0	unstable_segmentation
ACSM2B	1.0	unstable_segmentation	0.0	2.0	unstable_segmentation
ACSM3	1.0	unstable_segmentation	0.0	2.0	unstable_segmentation
ACSM4	0.0	0.0	1.0	unstable_segmentation	0.0
ACSM5	1.0	unstable_segmentation	0.0	2.0	unstable_segmentation
ACSM6	0.0	-1.0	-1.0	-1.0	-1.0
ACSS1	2.0	1.0	0.0	-1.0	0.0
ACSS2	2.0	1.0	1.0	0.0	0.0
ACSS3	0.0	0.0	-1.0	-1.0	-1.0
ACTA1	1.0	1.0	1.0	0.0	1.0
ACTA2	0.0	-1.0	-1.0	-1.0	-1.0
ACTB	0.0	1.0	1.0	unstable_segmentation	1.0
ACTBL2	1.0	-1.0	-1.0	unstable_segmentation	-1.0
ACTC1	1.0	-1.0	-1.0	-1.0	1.0
ACTG1	2.0	0.0	unstable_segmentation	unstable_segmentation	0.0
ACTG2	-1.0	0.0	0.0	-1.0	0.0
ACTL10	2.0	1.0	1.0	-1.0	0.0
ACTL6A	1.0	1.0	1.0	0.0	-1.0
ACTL7A	0.0	1.0	1.0	unstable_segmentation	0.0
ACTL7B	0.0	1.0	1.0	unstable_segmentation	0.0
ACTL8	0.0	0.0	-1.0	unstable_segmentation	1.0
ACTL9	0.0	0.0	1.0	-1.0	0.0
ACTN1	1.0	0.0	0.0	0.0	-1.0
ACTN2	1.0	1.0	1.0	0.0	1.0
ACTN4	1.0	0.0	1.0	-1.0	0.0
ACTR10	1.0	unstable_segmentation	0.0	unstable_segmentation	-1.0
ACTR1A	0.0	-1.0	-1.0	-1.0	-1.0
ACTR2	-1.0	0.0	0.0	-1.0	0.0
ACTR3B	-1.0	-1.0	1.0	2.0	1.0
ACTR3C	-1.0	1.0	unstable_segmentation	unstable_segmentation	1.0
ACTR5	2.0	1.0	1.0	0.0	0.0
ACTR6	0.0	0.0	-1.0	-1.0	-1.0
ACTR8	-1.0	1.0	0.0	0.0	-1.0
ACTRT1	1.0	unstable_segmentation	1.0	unstable_segmentation	unstable_segmentation
ACTRT2	1.0	unstable_segmentation	unstable_segmentation	unstable_segmentation	1.0
ACTRT3	1.0	1.0	1.0	0.0	-1.0
ACVR1	-1.0	0.0	0.0	-1.0	-1.0
ACVR1B	0.0	0.0	-1.0	-1.0	-1.0
ACVR1C	-1.0	0.0	0.0	-1.0	-1.0
ACVR2A	-1.0	0.0	0.0	-1.0	-1.0
ACVRL1	0.0	0.0	-1.0	-1.0	-1.0
ACY1	-1.0	1.0	0.0	0.0	-1.0
ACYP1	1.0	0.0	0.0	unstable_segmentation	-1.0
ACYP2	0.0	0.0	0.0	0.0	0.0
ADA	1.0	1.0	1.0	0.0	0.0
ADAD1	-1.0	1.0	0.0	unstable_segmentation	-1.0
ADAD2	0.0	-1.0	1.0	unstable_segmentation	0.0
ADAL	1.0	-1.0	-1.0	-1.0	1.0
ADAM10	2.0	-1.0	-1.0	0.0	0.0
ADAM11	1.0	0.0	unstable_segmentation	-1.0	0.0
ADAM12	0.0	-1.0	1.0	1.0	-1.0
ADAM15	1.0	1.0	0.0	0.0	1.0
ADAM17	-1.0	0.0	0.0	1.0	0.0
ADAM19	1.0	-1.0	1.0	0.0	-1.0
ADAM20	1.0	0.0	0.0	-1.0	-1.0
ADAM21	1.0	0.0	0.0	-1.0	-1.0
ADAM22	-1.0	1.0	-1.0	1.0	1.0
ADAM23	-1.0	0.0	0.0	-1.0	-1.0
ADAM29	-1.0	1.0	0.0	unstable_segmentation	-1.0
ADAM30	0.0	unstable_segmentation	unstable_segmentation	unstable_segmentation	unstable_segmentation
ADAM33	1.0	1.0	1.0	-1.0	0.0
ADAM8	0.0	-1.0	unstable_segmentation	1.0	-1.0
ADAMTS1	0.0	0.0	-1.0	-1.0	0.0
ADAMTS10	0.0	0.0	1.0	-1.0	0.0
ADAMTS12	1.0	-1.0	1.0	1.0	-1.0
ADAMTS13	0.0	1.0	1.0	1.0	0.0
ADAMTS14	0.0	unstable_segmentation	-1.0	-1.0	-1.0
ADAMTS15	-1.0	0.0	1.0	-1.0	unstable_segmentation
ADAMTS16	2.0	-1.0	2.0	2.0	-1.0
ADAMTS17	1.0	1.0	unstable_segmentation	1.0	0.0
ADAMTS18	0.0	-1.0	1.0	unstable_segmentation	0.0
ADAMTS19	1.0	-1.0	1.0	-1.0	-1.0
ADAMTS2	1.0	-1.0	1.0	0.0	-1.0
ADAMTS20	0.0	0.0	0.0	-1.0	-1.0
ADAMTS3	-1.0	1.0	-1.0	unstable_segmentation	-1.0
ADAMTS4	1.0	1.0	1.0	0.0	1.0
ADAMTS5	0.0	0.0	-1.0	-1.0	0.0
ADAMTS6	1.0	-1.0	-1.0	unstable_segmentation	-1.0
ADAMTS7	1.0	-1.0	-1.0	unstable_segmentation	0.0
ADAMTS8	-1.0	0.0	1.0	-1.0	unstable_segmentation
ADAMTS9	-1.0	1.0	unstable_segmentation	unstable_segmentation	-1.0
ADAMTSL2	0.0	1.0	1.0	1.0	0.0
ADAMTSL3	1.0	-1.0	-1.0	0.0	0.0
ADAMTSL4	2.0	1.0	-1.0	0.0	1.0
ADAP1	0.0	1.0	1.0	unstable_segmentation	1.0
ADAR	1.0	1.0	0.0	0.0	1.0
ADARB1	2.0	0.0	-1.0	-1.0	0.0
ADAT1	0.0	-1.0	1.0	unstable_segmentation	0.0
ADAT2	1.0	0.0	0.0	0.0	-1.0
ADCK1	1.0	0.0	0.0	unstable_segmentation	-1.0
ADCK2	0.0	2.0	-1.0	1.0	1.0
ADCK5	2.0	0.0	2.0	unstable_segmentation	-1.0
ADCY1	2.0	1.0	unstable_segmentation	0.0	1.0
ADCY10	1.0	1.0	1.0	0.0	1.0
ADCY2	2.0	-1.0	2.0	2.0	-1.0
ADCY3	-1.0	0.0	0.0	-1.0	0.0
ADCY4	1.0	0.0	1.0	1.0	0.0
ADCY5	1.0	1.0	unstable_segmentation	-1.0	-1.0
ADCY6	0.0	0.0	-1.0	-1.0	-1.0
ADCY7	0.0	-1.0	2.0	unstable_segmentation	0.0
ADCY8	2.0	unstable_segmentation	unstable_segmentation	2.0	-1.0
ADCY9	1.0	0.0	0.0	0.0	unstable_segmentation
ADCYAP1	2.0	unstable_segmentation	0.0	unstable_segmentation	0.0
ADCYAP1R1	0.0	1.0	1.0	0.0	1.0
ADD1	0.0	-1.0	unstable_segmentation	unstable_segmentation	-1.0
ADD2	-1.0	0.0	0.0	-1.0	0.0
ADD3	0.0	-1.0	-1.0	-1.0	-1.0
ADGB	1.0	0.0	-1.0	0.0	unstable_segmentation
ADGRA1	0.0	-1.0	unstable_segmentation	1.0	-1.0
ADGRA3	0.0	-1.0	-1.0	unstable_segmentation	-1.0
ADGRB1	2.0	0.0	2.0	unstable_segmentation	-1.0
ADGRB2	0.0	0.0	-1.0	0.0	1.0
ADGRB3	1.0	0.0	0.0	-1.0	-1.0
ADGRD1	1.0	0.0	-1.0	-1.0	-1.0
ADGRD2	0.0	1.0	1.0	0.0	0.0
ADGRE1	0.0	0.0	1.0	-1.0	0.0
ADGRE2	2.0	0.0	unstable_segmentation	1.0	0.0
ADGRE3	0.0	0.0	unstable_segmentation	1.0	0.0
ADGRE5	0.0	0.0	unstable_segmentation	1.0	0.0
ADGRF1	1.0	1.0	1.0	1.0	-1.0
ADGRF2	1.0	1.0	1.0	1.0	-1.0
ADGRF3	-1.0	0.0	0.0	-1.0	0.0
ADGRF4	1.0	1.0	1.0	1.0	-1.0
ADGRF5	1.0	1.0	1.0	1.0	-1.0
ADGRG1	0.0	-1.0	1.0	2.0	0.0
ADGRG2	-1.0	unstable_segmentation	unstable_segmentation	unstable_segmentation	unstable_segmentation
ADGRG3	0.0	-1.0	1.0	2.0	0.0
ADGRG4	1.0	unstable_segmentation	1.0	unstable_segmentation	unstable_segmentation
ADGRG5	0.0	-1.0	1.0	2.0	unstable_segmentation
ADGRG6	1.0	0.0	0.0	0.0	-1.0
ADGRG7	1.0	1.0	0.0	-1.0	-1.0
ADGRL1	0.0	0.0	unstable_segmentation	1.0	0.0
ADGRL2	0.0	0.0	-1.0	unstable_segmentation	1.0
ADGRL4	0.0	0.0	-1.0	unstable_segmentation	1.0
ADGRV1	1.0	-1.0	-1.0	-1.0	-1.0
ADH1A	-1.0	1.0	0.0	unstable_segmentation	-1.0
ADH1B	-1.0	1.0	0.0	unstable_segmentation	-1.0
ADH1C	-1.0	1.0	0.0	unstable_segmentation	-1.0
ADH4	-1.0	1.0	0.0	unstable_segmentation	-1.0
ADH5	-1.0	1.0	0.0	unstable_segmentation	-1.0
ADH6	-1.0	1.0	0.0	unstable_segmentation	-1.0
ADH7	-1.0	1.0	0.0	unstable_segmentation	-1.0
ADHFE1	2.0	0.0	1.0	unstable_segmentation	-1.0
ADI1	-1.0	0.0	0.0	unstable_segmentation	0.0
ADIG	2.0	1.0	1.0	0.0	0.0
ADIPOQ	1.0	1.0	2.0	0.0	-1.0
ADIPOR2	0.0	0.0	1.0	1.0	0.0
ADIRF	0.0	-1.0	unstable_segmentation	-1.0	-1.0
ADK	0.0	unstable_segmentation	-1.0	-1.0	-1.0
ADM	1.0	0.0	-1.0	-1.0	0.0
ADM2	2.0	1.0	unstable_segmentation	1.0	-1.0
ADM5	1.0	0.0	1.0	unstable_segmentation	0.0
ADNP	1.0	1.0	1.0	0.0	0.0
ADO	1.0	-1.0	-1.0	-1.0	-1.0
ADORA2A	2.0	1.0	-1.0	unstable_segmentation	-1.0
ADORA3	0.0	-1.0	1.0	-1.0	1.0
ADPGK	1.0	-1.0	-1.0	0.0	0.0
ADPRH	1.0	1.0	unstable_segmentation	-1.0	-1.0
ADPRHL1	0.0	0.0	1.0	-1.0	0.0
ADPRHL2	0.0	0.0	-1.0	0.0	1.0
ADPRM	1.0	0.0	unstable_segmentation	1.0	-1.0
ADRA1B	1.0	-1.0	1.0	0.0	-1.0
ADRA1D	1.0	1.0	1.0	-1.0	0.0
ADRA2A	0.0	-1.0	-1.0	-1.0	-1.0
ADRA2C	0.0	-1.0	unstable_segmentation	unstable_segmentation	-1.0
ADRB1	0.0	-1.0	-1.0	-1.0	-1.0
ADRB2	1.0	-1.0	1.0	0.0	-1.0
ADSL	2.0	1.0	unstable_segmentation	1.0	-1.0
ADTRP	1.0	1.0	1.0	unstable_segmentation	-1.0
AEBP1	2.0	1.0	unstable_segmentation	0.0	1.0
AEBP2	0.0	0.0	1.0	1.0	0.0
AEN	1.0	1.0	-1.0	unstable_segmentation	0.0
AF131216.1	-1.0	unstable_segmentation	-1.0	unstable_segmentation	-1.0
AFAP1	0.0	-1.0	unstable_segmentation	unstable_segmentation	-1.0
AFAP1L1	1.0	-1.0	1.0	0.0	-1.0
AFAP1L2	0.0	-1.0	-1.0	-1.0	-1.0
AFF1	-1.0	1.0	0.0	0.0	-1.0
AFF2	-1.0	1.0	unstable_segmentation	unstable_segmentation	-1.0
AFF3	0.0	0.0	0.0	1.0	-1.0
AFF4	1.0	-1.0	1.0	unstable_segmentation	-1.0
AFG3L2	1.0	0.0	0.0	unstable_segmentation	0.0
AFM	-1.0	1.0	-1.0	unstable_segmentation	-1.0
AFMID	2.0	0.0	unstable_segmentation	1.0	0.0
AFP	-1.0	1.0	-1.0	unstable_segmentation	-1.0
AFTPH	-1.0	0.0	0.0	-1.0	0.0
AGA	-1.0	1.0	0.0	unstable_segmentation	-1.0
AGAP1	-1.0	0.0	-1.0	0.0	-1.0
AGAP2	2.0	0.0	-1.0	-1.0	-1.0
AGAP3	-1.0	-1.0	unstable_segmentation	unstable_segmentation	1.0
AGAP4	1.0	unstable_segmentation	1.0	0.0	-1.0
AGAP5	0.0	unstable_segmentation	-1.0	-1.0	-1.0
AGAP6	1.0	-1.0	-1.0	0.0	-1.0
AGAP9	1.0	unstable_segmentation	unstable_segmentation	0.0	-1.0
AGBL1	1.0	1.0	-1.0	unstable_segmentation	0.0
AGBL2	1.0	unstable_segmentation	0.0	-1.0	0.0
AGBL3	-1.0	2.0	-1.0	1.0	1.0
AGBL4	1.0	0.0	-1.0	0.0	1.0
AGBL5	-1.0	0.0	0.0	-1.0	0.0
AGER	1.0	unstable_segmentation	unstable_segmentation	unstable_segmentation	-1.0
AGFG1	-1.0	0.0	-1.0	unstable_segmentation	-1.0
AGGF1	1.0	-1.0	-1.0	-1.0	-1.0
AGK	0.0	2.0	-1.0	1.0	1.0
AGL	0.0	-1.0	1.0	unstable_segmentation	1.0
AGMAT	0.0	0.0	unstable_segmentation	unstable_segmentation	1.0
AGMO	0.0	1.0	1.0	unstable_segmentation	1.0
AGO1	0.0	0.0	-1.0	0.0	1.0
AGO2	2.0	0.0	2.0	unstable_segmentation	-1.0
AGO3	0.0	0.0	-1.0	0.0	1.0
AGO4	0.0	0.0	-1.0	0.0	1.0
AGPAT1	1.0	unstable_segmentation	unstable_segmentation	unstable_segmentation	-1.0
AGPAT2	0.0	1.0	1.0	1.0	0.0
AGPAT4	1.0	0.0	-1.0	0.0	-1.0
AGPS	-1.0	0.0	0.0	0.0	0.0
